Detailed Job Status
"This report shows the jobs details for selected job types, policy types and schedule types "
"Report Time Frame:Jan 15, 2024 12:00:00 AM to Feb 16, 2024 11:59:00 PM"
Job ID,Server Name,Status Code,Job Type,Client Name,Start Time,End Time,Duration,Volume(GB),Number of Files ,Throughput (KB/sec)
39,Siebackup,0,Backup,sapdev-bck,"Feb 13, 2024 2:50:19 PM","Feb 13, 2024 2:50:40 PM",00:00:21,0,0,0
40,Siebackup,0,Backup,sapdev-bck,"Feb 13, 2024 2:50:19 PM","Feb 13, 2024 2:50:40 PM",00:00:21,0,72,"1,216,000"
41,Siebackup,0,Backup,sapdev-bck,"Feb 13, 2024 2:50:19 PM","Feb 13, 2024 2:50:32 PM",00:00:13,0,10,"192,000"
42,Siebackup,0,Backup,acueakanala-bck,"Feb 13, 2024 2:50:22 PM","Feb 13, 2024 3:11:38 PM",00:21:16,0,0,0
43,Siebackup,0,Backup,acueakanala-bck,"Feb 13, 2024 2:50:35 PM","Feb 13, 2024 3:11:26 PM",00:20:51,0.22,133,"189,868"
46,Siebackup,0,Backup,sapbwp-bck,"Feb 13, 2024 3:00:35 PM","Feb 13, 2024 3:03:02 PM",00:02:27,0.33,1,"7,304"
47,Siebackup,0,Backup,sapbwp-bck,"Feb 13, 2024 3:03:03 PM","Feb 13, 2024 3:03:28 PM",00:00:25,0,8,"1,196"
48,Siebackup,0,Image Cleanup,UNKNOWN,"Feb 13, 2024 3:03:49 PM","Feb 13, 2024 3:03:50 PM",00:00:01,0,0,0
51,Siebackup,0,Backup,sapn0-bck,"Feb 13, 2024 3:10:06 PM","Feb 13, 2024 3:28:14 PM",00:18:08,38.81,14,"42,346"
52,Siebackup,0,Backup,sapn0-bck,"Feb 13, 2024 3:10:06 PM","Feb 13, 2024 3:28:20 PM",00:18:14,38.88,11,"42,194"
53,Siebackup,0,Image Cleanup,UNKNOWN,"Feb 13, 2024 3:10:29 PM","Feb 13, 2024 3:10:30 PM",00:00:01,0,0,0
56,Siebackup,0,Backup,sapn0-bck,"Feb 13, 2024 3:28:42 PM","Feb 13, 2024 3:33:52 PM",00:05:10,7.15,2,"44,285"
57,Siebackup,0,Backup,sapn0-bck,"Feb 13, 2024 3:28:42 PM","Feb 13, 2024 3:32:14 PM",00:03:32,3.61,1,"48,965"
58,Siebackup,0,Backup,sapn0-bck,"Feb 13, 2024 3:33:53 PM","Feb 13, 2024 3:36:20 PM",00:02:27,0,9,"16,710"
59,Siebackup,0,Image Cleanup,UNKNOWN,"Feb 13, 2024 3:34:41 PM","Feb 13, 2024 3:34:43 PM",00:00:02,0,0,0
60,Siebackup,0,Snapshot,CC-SCADA17,"Feb 13, 2024 3:36:08 PM","Feb 13, 2024 4:40:34 PM",01:04:26,0,0,0
61,Siebackup,0,Backup,CC-SCADA17,"Feb 13, 2024 3:36:14 PM","Feb 13, 2024 4:40:30 PM",01:04:16,38.95,505,"115,355"
62,Siebackup,0,Backup,backupsmp,"Feb 13, 2024 4:01:35 PM","Feb 13, 2024 4:04:58 PM",00:03:23,0.89,7,"10,152"
63,Siebackup,0,Backup,virtualdbsql16.acueducto.red,"Feb 13, 2024 4:02:54 PM","Feb 13, 2024 4:03:34 PM",00:00:40,0,1,"32,000"
64,Siebackup,0,Backup,backupsmp,"Feb 13, 2024 4:05:00 PM","Feb 13, 2024 4:06:36 PM",00:01:36,0.01,9,"306,200"
65,Siebackup,0,Backup,sapn0-bck,"Feb 13, 2024 4:10:05 PM","Feb 13, 2024 4:14:08 PM",00:04:03,3.61,1,"46,884"
66,Siebackup,0,Backup,sapn0-bck,"Feb 13, 2024 4:10:06 PM","Feb 13, 2024 4:15:42 PM",00:05:36,7.15,2,"43,742"
67,Siebackup,0,Backup,sapn0-bck,"Feb 13, 2024 4:15:45 PM","Feb 13, 2024 4:18:42 PM",00:02:57,0.27,2,"31,770"
68,Siebackup,0,Backup,sapn0-bck,"Feb 13, 2024 4:15:46 PM","Feb 13, 2024 4:19:58 PM",00:04:12,3.51,1,"46,226"
69,Siebackup,0,Backup,sapn0-bck,"Feb 13, 2024 4:19:59 PM","Feb 13, 2024 4:23:12 PM",00:03:13,2.79,1,"37,696"
70,Siebackup,0,Image Cleanup,UNKNOWN,"Feb 13, 2024 4:22:17 PM","Feb 13, 2024 4:22:36 PM",00:00:19,0,0,0
71,Siebackup,0,Backup,sapn0-bck,"Feb 13, 2024 4:23:13 PM","Feb 13, 2024 4:25:50 PM",00:02:37,0,9,"16,127"
72,Siebackup,0,Backup,sapdev-bck,"Feb 13, 2024 5:00:27 PM","Feb 13, 2024 5:02:24 PM",00:01:57,0.37,1,"96,459"
73,Siebackup,0,Backup,sapbwp-bck,"Feb 13, 2024 5:00:35 PM","Feb 13, 2024 7:30:28 PM",02:29:53,2.56,22,"75,056"
74,Siebackup,0,Backup,sapbwp-bck,"Feb 13, 2024 5:00:35 PM","Feb 14, 2024 2:02:08 AM",09:01:33,37.16,23,"20,735"
75,Siebackup,0,Backup,sapbwp-bck,"Feb 13, 2024 5:00:35 PM","Feb 13, 2024 7:31:00 PM",02:30:25,1.92,22,"74,793"
76,Siebackup,0,Backup,sapbwp-bck,"Feb 13, 2024 5:00:35 PM","Feb 14, 2024 2:20:14 AM",09:19:39,32.08,23,"20,090"
77,Siebackup,0,Backup,sapdev-bck,"Feb 13, 2024 5:02:26 PM","Feb 13, 2024 5:04:02 PM",00:01:36,0,9,"320,500"
78,Siebackup,0,Backup,sapn0-bck,"Feb 13, 2024 5:10:07 PM","Feb 13, 2024 5:13:32 PM",00:03:25,3.51,1,"37,686"
79,Siebackup,0,Backup,sapn0-bck,"Feb 13, 2024 5:10:07 PM","Feb 13, 2024 5:13:20 PM",00:03:13,3.06,3,"37,134"
80,Siebackup,0,Backup,sapn0-bck,"Feb 13, 2024 5:13:36 PM","Feb 13, 2024 5:17:32 PM",00:03:56,3.56,1,"52,066"
81,Siebackup,0,Backup,sapn0-bck,"Feb 13, 2024 5:13:36 PM","Feb 13, 2024 5:16:24 PM",00:02:48,0.3,1,"50,239"
82,Siebackup,0,Backup,sapn0-bck,"Feb 13, 2024 5:17:34 PM","Feb 13, 2024 5:18:54 PM",00:01:20,0,9,"16,710"
83,Siebackup,0,Restore,ACUEFS16W01,"Feb 13, 2024 5:25:08 PM","Feb 13, 2024 6:19:48 PM",00:54:40,92.59,1,"172,728"
84,Siebackup,0,Backup,L-SIEBACKUP,"Feb 13, 2024 5:41:43 PM","Feb 14, 2024 3:26:42 PM",21:44:59,0,0,0
85,Siebackup,0,Backup,virtualdbsql16.acueducto.red,"Feb 13, 2024 5:41:43 PM","Feb 13, 2024 7:32:08 PM",01:50:25,0,0,0
86,Siebackup,0,Backup,virtualdbsql16.acueducto.red,"Feb 13, 2024 5:41:43 PM","Feb 13, 2024 7:31:33 PM",01:49:50,0,0,0
87,Siebackup,0,Backup,virtualdbsql16.acueducto.red,"Feb 13, 2024 5:41:43 PM","Feb 14, 2024 3:26:42 PM",21:44:59,0,0,0
88,Siebackup,0,Backup,virtualdbsql16.acueducto.red,"Feb 13, 2024 5:41:43 PM","Feb 13, 2024 7:32:08 PM",01:50:25,0,0,0
89,Siebackup,0,Backup,virtualdbsql16.acueducto.red,"Feb 13, 2024 5:41:43 PM","Feb 13, 2024 7:32:08 PM",01:50:25,0,0,0
90,Siebackup,0,Backup,acuebilbao(06-07-21 10:12),"Feb 13, 2024 5:42:10 PM","Feb 13, 2024 7:29:18 PM",01:47:08,937.23,11,"156,697"
91,Siebackup,0,Backup,acuebilbao(06-07-21 10:12),"Feb 13, 2024 5:42:11 PM","Feb 14, 2024 3:24:16 PM",21:42:05,"9,247.8",24,"146,402"
92,Siebackup,0,Backup,acuebilbao(06-07-21 10:12),"Feb 13, 2024 5:42:15 PM","Feb 13, 2024 7:29:48 PM",01:47:33,0,5,"5,134"
93,Siebackup,0,Backup,acuebilbao(06-07-21 10:12),"Feb 13, 2024 5:42:18 PM","Feb 13, 2024 7:30:30 PM",01:48:12,0.01,5,615
94,Siebackup,0,Backup,acuebilbao(06-07-21 10:12),"Feb 13, 2024 5:42:19 PM","Feb 13, 2024 7:31:00 PM",01:48:41,0,5,"6,610"
95,Siebackup,0,Snapshot,CC-DESARROLLO02_,"Feb 13, 2024 5:43:04 PM","Feb 13, 2024 7:52:08 PM",02:09:04,0,0,0
96,Siebackup,0,Backup,CC-DESARROLLO02_,"Feb 13, 2024 5:43:32 PM","Feb 13, 2024 7:51:28 PM",02:07:56,183.91,"1,617","126,707"
97,Siebackup,0,Backup,moaixprd-bk,"Feb 13, 2024 6:00:00 PM","Feb 13, 2024 6:06:52 PM",00:06:52,0.11,"4,177","299,103"
98,Siebackup,0,Backup,ACUEBILBAO,"Feb 13, 2024 6:00:00 PM","Feb 13, 2024 6:04:14 PM",00:04:14,0,0,0
99,Siebackup,0,Backup,ACUESTORM_rest,"Feb 13, 2024 6:00:00 PM","Feb 13, 2024 6:05:12 PM",00:05:12,0,"12,812",140
100,Siebackup,0,Backup,ACUETREGAN(03-01-22 12:19),"Feb 13, 2024 6:00:00 PM","Feb 13, 2024 6:03:34 PM",00:03:34,0,0,0
101,Siebackup,0,Backup,ACUEUTAPAU,"Feb 13, 2024 6:00:00 PM","Feb 13, 2024 6:02:06 PM",00:02:06,0,0,0
102,Siebackup,0,Backup,Acuezadd,"Feb 13, 2024 6:00:00 PM","Feb 13, 2024 6:01:56 PM",00:01:56,0,0,0
103,Siebackup,0,Backup,Acuezadd,"Feb 13, 2024 6:00:16 PM","Feb 13, 2024 6:00:54 PM",00:00:38,0,1,0
104,Siebackup,0,Backup,Acuezadd,"Feb 13, 2024 6:00:17 PM","Feb 13, 2024 6:00:46 PM",00:00:29,0,25,4
105,Siebackup,0,Backup,Acuezadd,"Feb 13, 2024 6:00:17 PM","Feb 13, 2024 6:00:54 PM",00:00:37,0,1,0
106,Siebackup,0,Backup,Acuezadd,"Feb 13, 2024 6:00:17 PM","Feb 13, 2024 6:01:50 PM",00:01:33,0.04,676,"21,082"
107,Siebackup,0,Backup,ACUEUTAPAU,"Feb 13, 2024 6:00:17 PM","Feb 13, 2024 6:02:00 PM",00:01:43,0,"4,235",300
108,Siebackup,0,Backup,ACUEUTAPAU,"Feb 13, 2024 6:00:17 PM","Feb 13, 2024 6:01:48 PM",00:01:31,0,"3,084",159
109,Siebackup,0,Backup,ACUEUTAPAU,"Feb 13, 2024 6:00:17 PM","Feb 13, 2024 6:00:58 PM",00:00:41,0,1,0
110,Siebackup,0,Backup,ACUEUTAPAU,"Feb 13, 2024 6:00:17 PM","Feb 13, 2024 6:01:10 PM",00:00:53,0,132,24
111,Siebackup,0,Backup,ACUETREGAN(03-01-22 12:19),"Feb 13, 2024 6:00:30 PM","Feb 13, 2024 6:01:12 PM",00:00:42,0,1,0
112,Siebackup,0,Backup,ACUETREGAN(03-01-22 12:19),"Feb 13, 2024 6:00:30 PM","Feb 13, 2024 6:01:20 PM",00:00:50,0,4,1
113,Siebackup,0,Backup,ACUETREGAN(03-01-22 12:19),"Feb 13, 2024 6:00:30 PM","Feb 13, 2024 6:01:22 PM",00:00:52,0,1,0
114,Siebackup,0,Backup,ACUETREGAN(03-01-22 12:19),"Feb 13, 2024 6:00:30 PM","Feb 13, 2024 6:03:24 PM",00:02:54,0.02,"3,227","8,698"
115,Siebackup,0,Backup,ACUEBILBAO,"Feb 13, 2024 6:01:15 PM","Feb 13, 2024 6:02:38 PM",00:01:23,0.09,12,"3,181"
116,Siebackup,0,Backup,ACUEBILBAO,"Feb 13, 2024 6:01:15 PM","Feb 13, 2024 6:04:06 PM",00:02:51,0,299,5
117,Siebackup,0,Backup,backupsmp,"Feb 13, 2024 6:01:34 PM","Feb 13, 2024 6:17:16 PM",00:15:42,2.35,18,"2,998"
118,Siebackup,0,Backup,sapbwp-bck,"Feb 13, 2024 6:01:36 PM","Feb 13, 2024 6:02:02 PM",00:00:26,0,1,"153,131"
119,Siebackup,0,Backup,sapbwp-bck,"Feb 13, 2024 6:02:04 PM","Feb 13, 2024 6:02:28 PM",00:00:24,0,8,"1,203"
120,Siebackup,0,Backup,sapn0-bck,"Feb 13, 2024 6:10:05 PM","Feb 13, 2024 6:11:34 PM",00:01:29,0.3,1,"50,729"
121,Siebackup,0,Backup,sapn0-bck,"Feb 13, 2024 6:10:05 PM","Feb 13, 2024 6:15:06 PM",00:05:01,3.56,1,"17,520"
122,Siebackup,0,Backup,sapn0-bck,"Feb 13, 2024 6:15:08 PM","Feb 13, 2024 6:17:14 PM",00:02:06,0,9,"15,942"
123,Siebackup,0,Backup,backupsmp,"Feb 13, 2024 6:17:19 PM","Feb 13, 2024 6:21:12 PM",00:03:53,0.28,2,"2,805"
124,Siebackup,0,Backup,backupsmp,"Feb 13, 2024 6:21:13 PM","Feb 13, 2024 6:23:06 PM",00:01:53,0.01,9,"307,800"
125,Siebackup,0,Backup,sapn0-bck,"Feb 13, 2024 6:30:00 PM","Feb 13, 2024 6:38:50 PM",00:08:50,0,0,0
126,Siebackup,0,Backup,sapn1-bck,"Feb 13, 2024 6:30:00 PM","Feb 13, 2024 6:30:22 PM",00:00:22,0,0,0
127,Siebackup,0,Backup,sapn0-bck,"Feb 13, 2024 6:30:00 PM","Feb 13, 2024 6:38:50 PM",00:08:50,2.48,181,"5,031"
128,Siebackup,0,Backup,sapn0-bck,"Feb 13, 2024 6:30:00 PM","Feb 13, 2024 6:30:14 PM",00:00:14,0.06,22,"257,415"
129,Siebackup,0,Backup,sapn0-bck,"Feb 13, 2024 6:30:00 PM","Feb 13, 2024 6:30:14 PM",00:00:14,0,34,"19,764"
130,Siebackup,0,Backup,sapn0-bck,"Feb 13, 2024 6:30:00 PM","Feb 13, 2024 6:31:46 PM",00:01:46,0.64,16,"7,229"
131,Siebackup,0,Backup,sapn0-bck,"Feb 13, 2024 6:30:00 PM","Feb 13, 2024 6:30:36 PM",00:00:36,0.09,101,"4,449"
132,Siebackup,0,Backup,sapn0-bck,"Feb 13, 2024 6:30:01 PM","Feb 13, 2024 6:30:16 PM",00:00:15,0,197,"34,461"
133,Siebackup,0,Backup,sapn1-bck,"Feb 13, 2024 6:30:01 PM","Feb 13, 2024 6:30:12 PM",00:00:11,0,0,"32,000"
134,Siebackup,0,Backup,sapn1-bck,"Feb 13, 2024 6:30:01 PM","Feb 13, 2024 6:30:22 PM",00:00:21,0.01,11,"1,067"
135,Siebackup,0,Backup,sapn1-bck,"Feb 13, 2024 6:30:01 PM","Feb 13, 2024 6:30:12 PM",00:00:11,0,0,"32,000"
136,Siebackup,0,Backup,sapn1-bck,"Feb 13, 2024 6:30:01 PM","Feb 13, 2024 6:30:14 PM",00:00:13,0,0,"32,000"
137,Siebackup,0,Backup,sapn1-bck,"Feb 13, 2024 6:30:02 PM","Feb 13, 2024 6:30:14 PM",00:00:12,0,0,"32,000"
138,Siebackup,0,Backup,sapn1-bck,"Feb 13, 2024 6:30:02 PM","Feb 13, 2024 6:30:16 PM",00:00:14,0,0,"32,000"
139,Siebackup,0,Backup,L-SIEBACKUP,"Feb 13, 2024 7:00:00 PM","Feb 14, 2024 12:14:02 AM",05:14:02,0,0,0
140,Siebackup,0,Backup,acueora04,"Feb 13, 2024 7:00:01 PM","Feb 14, 2024 12:14:02 AM",05:14:01,0,0,0
141,Siebackup,0,Backup,acueora04,"Feb 13, 2024 7:00:23 PM","Feb 13, 2024 7:27:18 PM",00:26:55,0,1,0
142,Siebackup,0,Backup,sapn0-bck,"Feb 13, 2024 7:10:06 PM","Feb 13, 2024 7:11:44 PM",00:01:38,0.33,2,"40,427"
143,Siebackup,0,Backup,sapn0-bck,"Feb 13, 2024 7:10:06 PM","Feb 13, 2024 7:13:04 PM",00:02:58,3.5,1,"43,011"
144,Siebackup,0,Backup,sapn0-bck,"Feb 13, 2024 7:13:05 PM","Feb 13, 2024 7:15:32 PM",00:02:27,0,9,"16,710"
145,Siebackup,0,Backup,saparchaix,"Feb 13, 2024 7:18:11 PM","Feb 13, 2024 7:34:10 PM",00:15:59,0,0,0
146,Siebackup,0,Backup,saparchaix,"Feb 13, 2024 7:18:11 PM","Feb 13, 2024 7:18:30 PM",00:00:19,0.05,591,"83,073,655"
147,Siebackup,0,Backup,saparchaix,"Feb 13, 2024 7:18:11 PM","Feb 13, 2024 7:18:58 PM",00:00:47,1.07,29,"221,203,399"
148,Siebackup,0,Backup,saparchaix,"Feb 13, 2024 7:18:11 PM","Feb 13, 2024 7:18:48 PM",00:00:37,0.01,"10,259","362,487"
149,Siebackup,0,Backup,saparchaix,"Feb 13, 2024 7:18:11 PM","Feb 13, 2024 7:18:56 PM",00:00:45,0.04,"47,596","561,515"
150,Siebackup,0,Backup,saparchaix,"Feb 13, 2024 7:18:11 PM","Feb 13, 2024 7:18:52 PM",00:00:41,0.03,20,"139,923"
151,Siebackup,0,Backup,saparchaix,"Feb 13, 2024 7:18:11 PM","Feb 13, 2024 7:34:10 PM",00:15:59,2.39,38,"18,655"
152,Siebackup,0,Backup,saparchaix,"Feb 13, 2024 7:18:11 PM","Feb 13, 2024 7:18:40 PM",00:00:29,0.04,137,"265,533"
153,Siebackup,0,Backup,saparchaix,"Feb 13, 2024 7:18:11 PM","Feb 13, 2024 7:18:32 PM",00:00:21,0,23,"1,963,890"
